id,partenza,arrivo,tappa1,distanza1,tappa2,distanza2,tappa3,distanza3,tappa4,distanza4,tappa5,distanza5,distanza_a_destinazione
983,Conad Metato,Stazione Pisa Centrale,,,,,,,,,,,10.92
984,Parcheggio Porto di Marina,Torre,Supermercato Coop Ghezzano,19.64,Farmacia Cisanello,5.13,Piscina Comunale Camalich,7.59,,,,,6.42
985,Ristorante Il Lago (Nodica),Parcheggio Migliarino,Centro Commerciale Darsena (Tirrenia),27.6,Ristorante Il Mio Capriccio,21.47,Torre,3.24,Conad La Vettola,6.11,,,12.05
986,Lidl Pisa,Ristorante Pizzeria Il Pellicano,Eurospin Ospedaletto,5,Parcheggio di Cisanello,7.3,Centro Commerciale Darsena (Tirrenia),23.64,Conad Metato,27.34,,,10.03
987,Hotel San Ranieri,Torre,Centro Commerciale Pisanova,1.39,,,,,,,,,3.03
988,Piscina Comunale Camalich,Ristorante Il Rustichello - San Piero,Stazione Pisa Centrale,4.11,Centro Commerciale Pisanova,2.01,Parcheggio Via Paparelli,3.06,Torre,2.65,Polo Fibonacci,1.4,6.71
989,Ristorante Il Mio Capriccio,Piscina Comunale Camalich,,,,,,,,,,,4.61
990,Ristorante Galileo,Parcheggio Porto di Marina,Ristorante Tuscany 2,0.49,,,,,,,,,17.85
991,Lidl Pisa,Ristorante Galileo,Ristorante La Greppia,1.89,Centro Commerciale Darsena (Tirrenia),19.93,Ristorante Da Stefano (Tirrenia),1.46,Facolta di Ingegneria Polo A,21.96,Parcheggio Migliarino,12.8,13.93
992,Pizzeria Pisanova,Ristorante Tuscany 2,Esselunga Cisanello,0.97,Ristorante Da Stefano (Tirrenia),18.77,OBI Pisa,14.47,Farmacia Cisanello,5.31,Via Montanelli 66,2.09,1.88
993,Esselunga Cisanello,Ristorante Il Lago (Nodica),Ristorante Il Rustichello - San Piero,8.59,,,,,,,,,11.89
994,McDonald's Barbaricina,Euronics Pisa Cisanello,MediaWorld Pisa,7.49,,,,,,,,,0.42
995,Polo Fibonacci,Pizzeria Pisanova,Supermercato Coop San Giusto,3.4,Stazione San Rossore,1.04,Ristorante Pizzeria Il Pellicano,2.07,Universita di Pisa,2.73,Via Cisanello 170,1.77,0.82
996,Via del Borghetto 102,Universita di Pisa,Parcheggio Via Paparelli,1.86,,,,,,,,,1.84
997,Pizzeria Colignola,Supermercato Coop Ghezzano,Parcheggio San Giuliano Terme,8.09,Conad Metato,0.55,,,,,,,3.24
998,Farmacia Cisanello,Pizzeria Pisanova,Stazione San Rossore,3.8,,,,,,,,,2.87
999,Via del Borghetto 102,Ristorante Il Rustichello - San Piero,,,,,,,,,,,6.38
1000,OBI Pisa,MD Discount Riglione,Via Gabriele Vettori 18,4.1,Hotel Continental Tirrenia,17.82,Centro Commerciale Darsena (Tirrenia),2.7,Esselunga Cisanello,24.12,,,4.14
1001,Via del Borghetto 102,Via Cisanello 170,Parco San Rossore,2.94,Pizzeria Colignola,5.2,Conad Pian di Marco,5.54,Ristorante Da Stefano (Tirrenia),17.54,Supermercato Coop Ghezzano,22.9,5.36
1002,Parco San Rossore,Parcheggio di Cisanello,Stazione Leopolda,1.47,McDonald's Pisa Aurelia,2.18,,,,,,,4.03
1003,MediaWorld Pisa,Lidl Pisa,Via Montanelli 66,1.33,Via del Borghetto 102,1.3,OBI Pisa,4.76,Universita di Pisa,4.24,McDonald's Pisa Aurelia,4.28,2.16
1004,Supermercato Coop Ghezzano,Carrefour Express Pisanova,Pizzeria Pisanova,5.69,Via Montanelli 66,0.98,Centro Commerciale Darsena (Tirrenia),20.84,Esselunga Cisanello,22.51,,,1.19
1005,Via San Ranieri 9,Centro Commerciale Darsena (Tirrenia),,,,,,,,,,,22.47
1006,Conad Metato,Via Cisanello 170,,,,,,,,,,,8.6
1007,Ristorante Il Rustichello - San Piero,Ipercoop Pisa,Via Gabriele Vettori 18,6.62,Lidl Pisa,1.88,Torre,1.87,,,,,4.02
1008,Centro Commerciale Darsena (Tirrenia),Parcheggio Via Paparelli,Hotel San Ranieri,22.41,,,,,,,,,2.32
1009,Via Montanelli 66,Universita di Pisa,Parcheggio Porto di Marina,15.76,Via Aretino Spinello 11,14.6,Ristorante Il Mio Capriccio,2.07,Centro Commerciale Darsena (Tirrenia),19.96,,,23.07
1010,Parco San Rossore,Stazione Pisa Centrale,Via del Borghetto 102,2.7,OBI Pisa,4.3,Esselunga Cisanello,5.29,Stazione Leopolda,2.77,Ristorante Il Rustichello - San Piero,5.07,5.23
1011,Parcheggio Via Paparelli,Lidl Pisa,Parcheggio di Cisanello,2.73,Centro Commerciale Darsena (Tirrenia),22.23,Via Aretino Spinello 11,20.7,,,,,1.2
1012,Via Montanelli 66,Universita di Pisa,Ristorante Pizzeria Il Pellicano,1.51,,,,,,,,,2.6
1013,MediaWorld Pisa,Polo Fibonacci,Ristorante Il Mio Capriccio,0.54,Parcheggio Porto di Marina,16.02,,,,,,,15.97
1014,Ristorante La Greppia,Carrefour Express Pisanova,Parcheggio Porto di Marina,14.71,Facolta di Ingegneria Polo A,17.84,OBI Pisa,3.93,,,,,4.16
1015,Ristorante Da Stefano (Tirrenia),Hotel San Ranieri,Stazione Pisa Centrale,19.17,Via Cisanello 170,2.88,Pizzeria Pisanova,0.78,,,,,1.29
1016,Parco San Rossore,Stazione Pisa Centrale,Ristorante Pizzeria Il Pellicano,2.05,Eurospin Ospedaletto,5.46,Ristorante La Greppia,5.25,Ristorante Il Rustichello - San Piero,4.79,,,4.84
1017,Centro Commerciale Darsena (Tirrenia),MD Discount Riglione,Via Aretino Spinello 11,22.47,MediaWorld Pisa,1.96,Stazione San Rossore,2.76,Ristorante Tuscany 2,3.83,,,3.76
1018,Ipercoop Pisa,Ristorante Da Stefano (Tirrenia),,,,,,,,,,,18.46
1019,Universita di Pisa,Ipercoop Pisa,,,,,,,,,,,2.66
1020,Carrefour Express Pisanova,Torre,Via Cisanello 170,1.04,,,,,,,,,3.44
1021,Conad Metato,McDonald's Barbaricina,Pizzeria Colignola,8.61,,,,,,,,,9.58
1022,Stazione Pisa Centrale,Parcheggio Via Paparelli,Via Angelo Battelli 5,1.5,Ristorante Il Rustichello - San Piero,6.14,,,,,,,8.41
1023,Ipercoop Pisa,Universita di Pisa,Parcheggio di Cisanello,1.76,Torre,3.25,Parcheggio Via Paparelli,2.32,,,,,1.89
1024,Ristorante Galileo,Ipercoop Pisa,Ristorante Il Lago (Nodica),7.19,,,,,,,,,7.7
1025,Torre,Conad Metato,Ristorante Il Rustichello - San Piero,6.91,Stazione Leopolda,5.51,Euronics Pisa Cisanello,2.56,Conad La Vettola,8.59,McDonald's Pisa Aurelia,5.07,12.2
1026,Conad La Vettola,Ristorante Galileo,Ristorante Il Lago (Nodica),11.02,,,,,,,,,7.36
1027,Pizzeria Colignola,Decathlon Pisa,Supermercato Coop Ghezzano,6.34,Stazione Pisa Centrale,7.43,Via Montanelli 66,1.35,Ristorante Il Mio Capriccio,1.34,Lidl Pisa,2.4,2.67
1028,Farmacia Cisanello,Pizzeria Pisanova,OBI Pisa,5.86,,,,,,,,,4.03
1029,Ristorante Pizzeria Il Pellicano,Decathlon Pisa,Stazione Leopolda,1.21,Hotel San Ranieri,2.92,Via Gabriele Vettori 18,2.1,Universita di Pisa,0.64,,,2.09
1030,Centro Commerciale Pisanova,Facolta di Ingegneria Polo A,,,,,,,,,,,1.87
1031,Via Gabriele Vettori 18,Ristorante Tuscany 2,Via Aretino Spinello 11,0.6,Supermercato Coop San Giusto,2.13,Via del Borghetto 102,3.35,,,,,2.37
1032,Pizzeria Pisanova,Via Angelo Battelli 5,Supermercato Coop San Giusto,2.75,Farmacia Cisanello,4.33,Hotel Continental Tirrenia,18.44,Parcheggio di Cisanello,21.88,Stazione Leopolda,2.57,0.89
1033,MD Discount Riglione,Ristorante Tuscany 2,McDonald's Pisa Aurelia,5.98,Ristorante La Greppia,1.42,Via Montanelli 66,1.96,Via Gabriele Vettori 18,0.76,,,2.38
1034,McDonald's Barbaricina,Ristorante Il Rustichello - San Piero,Hotel Continental Tirrenia,16.23,MediaWorld Pisa,19.32,Parco San Rossore,3.28,Pizzeria Pisanova,3.51,Ristorante Pizzeria Il Pellicano,1.78,5.88
1035,Hotel Continental Tirrenia,Lidl Pisa,,,,,,,,,,,17.68
1036,Ristorante La Greppia,Hotel Galilei Pisa,Via Aretino Spinello 11,2.1,Centro Commerciale Darsena (Tirrenia),20.49,Supermercato Coop Ghezzano,25.44,,,,,9.38
1037,Pizzeria Pisanova,Stazione Leopolda,,,,,,,,,,,2.01
1038,Esselunga Cisanello,McDonald's Pisa Aurelia,Via Gabriele Vettori 18,2.49,,,,,,,,,3.12
1039,Ristorante La Greppia,Ristorante Pizzeria Il Pellicano,MediaWorld Pisa,1.83,,,,,,,,,1.23
1040,Conad Pian di Marco,Parcheggio Via Paparelli,Decathlon Pisa,2.77,,,,,,,,,3.69
1041,MediaWorld Pisa,Parcheggio Porto di Marina,,,,,,,,,,,18.04
1042,Via Gabriele Vettori 18,Via Aretino Spinello 11,Parcheggio di Cisanello,2.13,Stazione San Rossore,3.99,,,,,,,1.37
1043,Stazione San Rossore,Decathlon Pisa,Parco San Rossore,0.33,Ristorante Il Mio Capriccio,2.84,MD Discount Riglione,3.59,Ristorante Tuscany 2,4.09,Pizzeria Pisanova,0.95,0.85
1044,Centro Commerciale Darsena (Tirrenia),Parcheggio Via Paparelli,Supermercato Coop Ghezzano,24.78,Via San Ranieri 9,5.29,,,,,,,1.94
1045,Decathlon Pisa,Via Cisanello 170,Ipercoop Pisa,0.63,Stazione Pisa Centrale,2.24,Euronics Pisa Cisanello,2.17,,,,,1.1
1046,Stazione Pisa Centrale,MD Discount Riglione,McDonald's Barbaricina,5.44,Ristorante La Greppia,5.4,Centro Commerciale Pisanova,2.27,Lidl Pisa,2.72,Torre,2.14,6.9
1047,Euronics Pisa Cisanello,Ristorante Il Mio Capriccio,,,,,,,,,,,0.82
1048,Torre,Stazione Leopolda,Pizzeria Colignola,4.46,McDonald's Pisa Aurelia,5.78,Conad Pian di Marco,0.32,Via Angelo Battelli 5,3.06,Supermercato Coop San Giusto,2.25,1.43
1049,Carrefour Express Pisanova,Stazione San Rossore,Eurospin Ospedaletto,6.78,Via Montanelli 66,6.84,,,,,,,2.02
1050,Via San Ranieri 9,Piscina Comunale Camalich,Euronics Pisa Cisanello,1.68,Universita di Pisa,2.55,Farmacia Cisanello,1.83,Ristorante Il Lago (Nodica),6.99,,,11.44
1051,Via Angelo Battelli 5,Farmacia Cisanello,MediaWorld Pisa,2.13,Carrefour Express Pisanova,0.51,Polo Fibonacci,1.8,Pizzeria Colignola,3.2,,,1.5
1052,Torre,Stazione Leopolda,Ipercoop Pisa,4.09,Parcheggio di Cisanello,1.66,Parcheggio Via Paparelli,2.29,Conad Pian di Marco,6.17,,,2.43
1053,Stazione Pisa Centrale,Decathlon Pisa,Centro Commerciale Pisanova,2.32,Parcheggio San Giuliano Terme,9.4,Via Gabriele Vettori 18,8.67,MediaWorld Pisa,2,Via del Borghetto 102,2.35,2.28
1054,Ristorante Galileo,Conad La Vettola,Carrefour Express Pisanova,0.74,Ristorante Il Lago (Nodica),6.56,Ristorante Da Stefano (Tirrenia),25.59,Ristorante La Greppia,18.25,Parcheggio San Giuliano Terme,10.57,12.15
1055,Torre,Carrefour Express Pisanova,,,,,,,,,,,2.73
1056,Torre,Via del Borghetto 102,Hotel Galilei Pisa,5.07,Parco San Rossore,2.81,Parcheggio di Cisanello,4.34,,,,,2.17
1057,Ristorante La Greppia,Conad Metato,Universita di Pisa,2.67,Ristorante Da Stefano (Tirrenia),20.86,Via San Ranieri 9,21.43,,,,,8.52
1058,OBI Pisa,Conad La Vettola,Ristorante Il Rustichello - San Piero,2.88,Centro Commerciale Darsena (Tirrenia),14.39,,,,,,,15
1059,Via Aretino Spinello 11,Conad Pian di Marco,Piscina Comunale Camalich,5.31,,,,,,,,,2.75
1060,Centro Commerciale Pisanova,MD Discount Riglione,,,,,,,,,,,3.74
1061,Universita di Pisa,Hotel Galilei Pisa,Esselunga Cisanello,1.99,OBI Pisa,4.68,Decathlon Pisa,3.73,,,,,3.58
1062,Parcheggio Migliarino,McDonald's Barbaricina,Farmacia Cisanello,16.17,Eurospin Ospedaletto,8.71,Via Angelo Battelli 5,6.73,,,,,4.96
1063,Stazione San Rossore,Ristorante Pizzeria Il Pellicano,Polo Fibonacci,2.83,,,,,,,,,2.76
1064,Stazione Leopolda,McDonald's Pisa Aurelia,Centro Commerciale Darsena (Tirrenia),18.29,Via Aretino Spinello 11,19.65,Supermercato Coop San Giusto,2.03,,,,,0.85
1065,MediaWorld Pisa,Eurospin Ospedaletto,Parcheggio Migliarino,15.66,Conad Pian di Marco,16.17,Hotel Galilei Pisa,1.86,Centro Commerciale Darsena (Tirrenia),16.69,,,14.73
1066,Stazione San Rossore,Stazione Leopolda,,,,,,,,,,,1.17
1067,Via Gabriele Vettori 18,Ristorante La Greppia,Facolta di Ingegneria Polo A,0.33,,,,,,,,,2.91
1068,Supermercato Coop San Giusto,Hotel Continental Tirrenia,Hotel San Ranieri,3.74,MD Discount Riglione,4.4,Facolta di Ingegneria Polo A,5.54,,,,,19.75
1069,Torre,Stazione Pisa Centrale,,,,,,,,,,,2.82
1070,Parcheggio di Cisanello,Ristorante Il Rustichello - San Piero,Stazione San Rossore,4.1,Conad La Vettola,4.95,Carrefour Express Pisanova,7.6,Pizzeria Pisanova,0.31,Supermercato Coop Ghezzano,6.1,10.63
1071,Ristorante Il Mio Capriccio,Hotel Continental Tirrenia,Pizzeria Pisanova,0.93,Carrefour Express Pisanova,0.28,Stazione Pisa Centrale,1.65,Centro Commerciale Darsena (Tirrenia),18.1,Ristorante Il Rustichello - San Piero,14.19,13.53
1072,Ristorante Da Stefano (Tirrenia),McDonald's Pisa Aurelia,Ristorante Galileo,21.48,Hotel Galilei Pisa,4.75,Conad Metato,12.81,Parcheggio di Cisanello,9.27,Ristorante La Greppia,2.81,1.22
1073,Pizzeria Colignola,Via Angelo Battelli 5,Hotel San Ranieri,1.53,Ristorante La Greppia,3.16,,,,,,,2.07
1074,Via Cisanello 170,Centro Commerciale Darsena (Tirrenia),Piscina Comunale Camalich,6.77,Ristorante La Greppia,3.96,,,,,,,18.93
1075,Ristorante Tuscany 2,Polo Fibonacci,Lidl Pisa,4.05,Conad Pian di Marco,2.03,Via San Ranieri 9,4.67,Ristorante Galileo,0.87,,,1.76
1076,Facolta di Ingegneria Polo A,Pizzeria Colignola,McDonald's Barbaricina,6.17,Via Angelo Battelli 5,5.1,Ristorante Da Stefano (Tirrenia),18.19,Stazione Leopolda,19.02,,,4.12
1077,Pizzeria Pisanova,Ristorante Il Mio Capriccio,Stazione Leopolda,1.97,Via del Borghetto 102,1.67,Hotel San Ranieri,1.98,,,,,2.32
1078,Via Cisanello 170,Parcheggio Migliarino,McDonald's Pisa Aurelia,4.19,Via San Ranieri 9,4.19,Conad Metato,7.52,Centro Commerciale Pisanova,9.44,,,15.4
1079,Pizzeria Pisanova,Parcheggio San Giuliano Terme,,,,,,,,,,,8.87
1080,Parcheggio Via Paparelli,Ipercoop Pisa,Parcheggio Migliarino,11.47,Piscina Comunale Camalich,16.82,,,,,,,5.32
1081,Supermercato Coop Ghezzano,Stazione Pisa Centrale,Via San Ranieri 9,4.51,,,,,,,,,3.16
1082,Decathlon Pisa,Parco San Rossore,,,,,,,,,,,3.03
1083,Ristorante La Greppia,Ristorante Tuscany 2,Piscina Comunale Camalich,3.69,Lidl Pisa,4.69,Via San Ranieri 9,3.63,Facolta di Ingegneria Polo A,1.57,,,2.24
1084,Hotel San Ranieri,Polo Fibonacci,,,,,,,,,,,2.08
1085,Conad Metato,Via Gabriele Vettori 18,Ristorante Galileo,9.9,Ristorante Il Lago (Nodica),7.04,Ristorante Da Stefano (Tirrenia),23.38,Supermercato Coop Ghezzano,23.26,,,4.82
1086,McDonald's Barbaricina,Hotel San Ranieri,,,,,,,,,,,7.79
1087,Ipercoop Pisa,Eurospin Ospedaletto,Via del Borghetto 102,3.06,Parcheggio di Cisanello,2.03,Torre,3.4,Via Montanelli 66,1.9,,,6.47
1088,Via San Ranieri 9,Polo Fibonacci,Parcheggio Migliarino,15.49,Lidl Pisa,13.28,Parcheggio Porto di Marina,15.72,Pizzeria Pisanova,16.99,Via del Borghetto 102,2.12,0.26
1089,Supermercato Coop San Giusto,Ipercoop Pisa,,,,,,,,,,,2.82
1090,Eurospin Ospedaletto,Ristorante Il Mio Capriccio,Via Gabriele Vettori 18,7.08,,,,,,,,,1.94
1091,Piscina Comunale Camalich,Hotel Continental Tirrenia,Lidl Pisa,5.24,Esselunga Cisanello,3.84,,,,,,,19.81
1092,Centro Commerciale Pisanova,Conad La Vettola,Via Aretino Spinello 11,2.01,Piscina Comunale Camalich,5.13,Parcheggio di Cisanello,6.95,,,,,8.61
1093,Centro Commerciale Pisanova,Ristorante Tuscany 2,Supermercato Coop San Giusto,3.09,Parco San Rossore,1.01,Parcheggio San Giuliano Terme,9.46,,,,,9
1094,Euronics Pisa Cisanello,Ristorante Tuscany 2,Parcheggio Via Paparelli,3.87,Conad Metato,6.52,Decathlon Pisa,9.7,Farmacia Cisanello,2,Piscina Comunale Camalich,7.59,5.85
1095,Via San Ranieri 9,Via Montanelli 66,Ristorante Il Lago (Nodica),6.01,,,,,,,,,6.38
1096,Supermercato Coop Ghezzano,Stazione Leopolda,Ristorante Tuscany 2,6.07,Parcheggio Migliarino,16.86,Torre,11.92,Farmacia Cisanello,3.46,Ristorante Il Lago (Nodica),7.08,6.76
1097,Centro Commerciale Darsena (Tirrenia),Supermercato Coop Ghezzano,OBI Pisa,16.98,Decathlon Pisa,4.03,,,,,,,7.27
1098,Decathlon Pisa,Stazione Leopolda,Supermercato Coop San Giusto,2.22,Hotel Galilei Pisa,2.35,Conad La Vettola,5.86,Via Montanelli 66,6.51,Via Aretino Spinello 11,0.88,0.55
1099,Centro Commerciale Pisanova,Pizzeria Colignola,Supermercato Coop San Giusto,3.16,Ristorante Tuscany 2,3.46,,,,,,,1.31
1100,McDonald's Pisa Aurelia,Parcheggio Via Paparelli,Conad Metato,10.9,Carrefour Express Pisanova,9.82,,,,,,,2.99
1101,Via del Borghetto 102,Polo Fibonacci,Via San Ranieri 9,1.57,Ristorante Il Mio Capriccio,1.93,Ristorante Galileo,1.37,,,,,1.78
1102,Piscina Comunale Camalich,Via Aretino Spinello 11,Carrefour Express Pisanova,6.08,Stazione Pisa Centrale,1.83,MD Discount Riglione,5.65,,,,,6.35
1103,Supermercato Coop Ghezzano,Conad Pian di Marco,,,,,,,,,,,8.55
1104,Pizzeria Colignola,Stazione Pisa Centrale,,,,,,,,,,,4.35
1105,Stazione Pisa Centrale,Carrefour Express Pisanova,Euronics Pisa Cisanello,2.28,Parcheggio Migliarino,16.16,Ristorante Da Stefano (Tirrenia),27.63,McDonald's Pisa Aurelia,16.43,Ipercoop Pisa,3.46,1.07
1106,Ristorante Galileo,Decathlon Pisa,MediaWorld Pisa,0.77,OBI Pisa,3.78,Polo Fibonacci,4.58,Via San Ranieri 9,1.57,Via del Borghetto 102,1.73,2.62
1107,Farmacia Cisanello,Euronics Pisa Cisanello,Ristorante Da Stefano (Tirrenia),20.36,Parcheggio Migliarino,26.89,Supermercato Coop Ghezzano,12.3,Ipercoop Pisa,6.84,Esselunga Cisanello,1.55,1.02
1108,Via Angelo Battelli 5,Torre,Conad La Vettola,6.92,Lidl Pisa,5.81,,,,,,,2.02
1109,Farmacia Cisanello,Centro Commerciale Pisanova,OBI Pisa,5.96,Parcheggio di Cisanello,5.62,MD Discount Riglione,4.54,,,,,3.87
1110,Hotel Galilei Pisa,Parcheggio di Cisanello,Via Angelo Battelli 5,4.8,,,,,,,,,2.32
1111,Parcheggio di Cisanello,Hotel Continental Tirrenia,Eurospin Ospedaletto,7.22,Via Angelo Battelli 5,6.54,,,,,,,17.61
1112,Ristorante Tuscany 2,OBI Pisa,Pizzeria Pisanova,0.87,Parcheggio Porto di Marina,17.73,,,,,,,12.45
1113,Piscina Comunale Camalich,Conad Metato,Ristorante La Greppia,3.7,Supermercato Coop Ghezzano,7.35,McDonald's Pisa Aurelia,9.23,Parcheggio di Cisanello,4.44,Lidl Pisa,3.81,9.95
1114,Pizzeria Colignola,Conad Metato,MD Discount Riglione,3.23,Pizzeria Pisanova,4.24,Centro Commerciale Darsena (Tirrenia),19.94,,,,,27
1115,OBI Pisa,Polo Fibonacci,Via del Borghetto 102,4.59,Farmacia Cisanello,2.4,Centro Commerciale Darsena (Tirrenia),24.56,Ipercoop Pisa,21.27,,,2.68
1116,Via del Borghetto 102,Ipercoop Pisa,Torre,1.12,,,,,,,,,4.17
1117,Supermercato Coop San Giusto,Ristorante Il Lago (Nodica),Hotel Galilei Pisa,2.53,Parcheggio Migliarino,18.49,,,,,,,9.66
1118,Farmacia Cisanello,Ristorante La Greppia,,,,,,,,,,,3.51
1119,Supermercato Coop San Giusto,Via Montanelli 66,,,,,,,,,,,2.2
1120,Stazione Leopolda,Via Angelo Battelli 5,Conad Pian di Marco,2.13,Parco San Rossore,1.42,,,,,,,2.4
1121,Facolta di Ingegneria Polo A,Ristorante Il Lago (Nodica),Parcheggio di Cisanello,1.83,,,,,,,,,6.89
1122,MediaWorld Pisa,Carrefour Express Pisanova,Parco San Rossore,2.92,Lidl Pisa,0.73,Facolta di Ingegneria Polo A,2,,,,,1.49
1123,Pizzeria Pisanova,Via Aretino Spinello 11,,,,,,,,,,,1.87
1124,Polo Fibonacci,OBI Pisa,Ristorante Galileo,1.88,Ristorante La Greppia,2.32,,,,,,,2.21
1125,Parcheggio di Cisanello,Facolta di Ingegneria Polo A,Via Aretino Spinello 11,2.55,,,,,,,,,0.86
1126,Torre,Universita di Pisa,Ipercoop Pisa,4.33,Ristorante Da Stefano (Tirrenia),20.05,Ristorante Il Rustichello - San Piero,14.45,Euronics Pisa Cisanello,7.52,Polo Fibonacci,2.39,0.1
1127,Piscina Comunale Camalich,Stazione San Rossore,McDonald's Barbaricina,6.3,,,,,,,,,4.23
1128,MediaWorld Pisa,Universita di Pisa,Piscina Comunale Camalich,4.88,Via Montanelli 66,6.06,,,,,,,1
1129,Parcheggio San Giuliano Terme,McDonald's Barbaricina,Centro Commerciale Pisanova,9.71,Facolta di Ingegneria Polo A,1.84,Farmacia Cisanello,2.14,Euronics Pisa Cisanello,1.59,,,7.88
1130,Conad Pian di Marco,Euronics Pisa Cisanello,Centro Commerciale Pisanova,3.94,,,,,,,,,0.48
1131,McDonald's Barbaricina,Supermercato Coop San Giusto,Lidl Pisa,4.39,,,,,,,,,1.36
1132,Ristorante Da Stefano (Tirrenia),Ristorante Il Mio Capriccio,Stazione Leopolda,17.36,Piscina Comunale Camalich,5.47,Parcheggio San Giuliano Terme,13.07,Lidl Pisa,9.53,,,2.67
1133,Via del Borghetto 102,Conad Pian di Marco,Parcheggio Via Paparelli,1.84,,,,,,,,,5.69
1134,MediaWorld Pisa,Ristorante Galileo,Lidl Pisa,2.55,Piscina Comunale Camalich,4.83,Decathlon Pisa,4.97,Supermercato Coop Ghezzano,7.26,,,6.3
1135,Eurospin Ospedaletto,Parco San Rossore,Esselunga Cisanello,7.25,Parcheggio San Giuliano Terme,9.14,Via Aretino Spinello 11,9.54,,,,,1.72
1136,Via San Ranieri 9,Pizzeria Colignola,Universita di Pisa,1.23,Ristorante Da Stefano (Tirrenia),19.97,Euronics Pisa Cisanello,18.48,,,,,1.82
1137,Parcheggio San Giuliano Terme,Pizzeria Colignola,Supermercato Coop Ghezzano,2.99,Ristorante Tuscany 2,5.36,,,,,,,1.36
1138,Ristorante Il Lago (Nodica),Facolta di Ingegneria Polo A,Ipercoop Pisa,8.33,Parcheggio Via Paparelli,4.53,Parcheggio Porto di Marina,20.22,Conad Pian di Marco,12.9,Piscina Comunale Camalich,2.81,6.55
1139,Parcheggio Via Paparelli,Polo Fibonacci,Via San Ranieri 9,2.04,Ristorante La Greppia,3.48,Parcheggio San Giuliano Terme,10.34,,,,,7.05
1140,Ristorante Il Mio Capriccio,Carrefour Express Pisanova,Stazione Pisa Centrale,1.54,Supermercato Coop Ghezzano,7.38,Conad Metato,3.2,,,,,9.91
1141,Pizzeria Colignola,Facolta di Ingegneria Polo A,Polo Fibonacci,3.66,McDonald's Pisa Aurelia,4.1,Parcheggio Porto di Marina,14.31,Lidl Pisa,15.31,,,1.88
1142,Via San Ranieri 9,Pizzeria Pisanova,Hotel Continental Tirrenia,20.61,,,,,,,,,17.34
1143,Centro Commerciale Darsena (Tirrenia),Centro Commerciale Pisanova,Ristorante Tuscany 2,23.53,McDonald's Barbaricina,8.55,Via Angelo Battelli 5,5.74,Decathlon Pisa,2.09,Ristorante Galileo,1.18,0.39
1144,Via Montanelli 66,Supermercato Coop Ghezzano,Pizzeria Pisanova,0.97,Polo Fibonacci,1.69,Parcheggio Porto di Marina,17.5,Ristorante Galileo,18.23,Hotel Continental Tirrenia,17.63,25.21
1145,McDonald's Pisa Aurelia,Parcheggio di Cisanello,Parco San Rossore,1.47,Farmacia Cisanello,4.73,Via Montanelli 66,2.03,Via Cisanello 170,1.57,Ristorante Da Stefano (Tirrenia),19.02,20.19
1146,MediaWorld Pisa,Conad La Vettola,Ristorante Galileo,0.78,,,,,,,,,8.18
1147,Via Cisanello 170,Lidl Pisa,,,,,,,,,,,3.29
1148,Farmacia Cisanello,Euronics Pisa Cisanello,Universita di Pisa,2.1,Carrefour Express Pisanova,1.43,Ristorante Da Stefano (Tirrenia),20.36,Hotel Galilei Pisa,14.65,Hotel San Ranieri,6,1.63
1149,Supermercato Coop San Giusto,Stazione Leopolda,Ristorante Da Stefano (Tirrenia),16.32,Via Gabriele Vettori 18,20.56,Pizzeria Colignola,3.59,,,,,4.46
1150,Ristorante La Greppia,Farmacia Cisanello,McDonald's Barbaricina,6.25,Ristorante Pizzeria Il Pellicano,6.23,Ristorante Il Lago (Nodica),7.74,,,,,6.42
1151,Ristorante Il Lago (Nodica),Esselunga Cisanello,Carrefour Express Pisanova,6.86,Ristorante Pizzeria Il Pellicano,1.4,,,,,,,2.32
1152,Stazione San Rossore,Ristorante Tuscany 2,Conad Pian di Marco,1.68,Via Cisanello 170,4.26,Stazione Pisa Centrale,2.91,Ristorante La Greppia,0.86,,,2.84
1153,Parcheggio Via Paparelli,Ristorante Pizzeria Il Pellicano,,,,,,,,,,,4.32
1154,Centro Commerciale Darsena (Tirrenia),Eurospin Ospedaletto,Ristorante Il Rustichello - San Piero,15.1,Torre,6.4,OBI Pisa,4.72,Hotel Continental Tirrenia,13.5,,,13.1
1155,Stazione San Rossore,Euronics Pisa Cisanello,Via Montanelli 66,2.23,Pizzeria Pisanova,1.07,Universita di Pisa,1.75,Via del Borghetto 102,0.36,,,2.81
1156,Torre,Hotel Galilei Pisa,,,,,,,,,,,5.78
1157,Ristorante La Greppia,Via Cisanello 170,Carrefour Express Pisanova,1.74,Farmacia Cisanello,1.4,Hotel Continental Tirrenia,18.71,,,,,19.27
1158,MD Discount Riglione,Parco San Rossore,McDonald's Barbaricina,10.54,,,,,,,,,3.8
1159,Decathlon Pisa,Via San Ranieri 9,Via Angelo Battelli 5,1.94,Ristorante La Greppia,2.21,,,,,,,3.46
1160,Ristorante Galileo,Via Montanelli 66,,,,,,,,,,,1.38
1161,Stazione Pisa Centrale,Conad Pian di Marco,,,,,,,,,,,1.79
1162,MD Discount Riglione,Ristorante Il Rustichello - San Piero,,,,,,,,,,,8.42
1163,Ristorante La Greppia,Lidl Pisa,Via Aretino Spinello 11,2.09,Centro Commerciale Pisanova,1.83,,,,,,,2.76
1164,Centro Commerciale Darsena (Tirrenia),Ristorante Il Mio Capriccio,,,,,,,,,,,21.8
